ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment
sind1272-eighttrees,sind1272,əʈʰ peɽ,,,eight trees,,,
paha1251-eighttrees,paha1251,əʈʰ buʈe,,,eight trees,,,
sada1242-eighttrees,sada1242,ɑʈʰɡo ɡəčʰ,,,eight trees,,,
wagd1238-eighttrees,wagd1238,ɑʈ ǰʰɑr,,,eight trees,,,
west2380-eighttrees,west2380,ɑʈʰɡo per,,,eight trees,,,
sans1269-eighttrees,sans1269,əsʈ ʋrikʃʰɑɳi,,,eight trees,,,
sylh1242-eighttrees,sylh1242,ɑʈʈɑ ɡɑs,,,eight trees,,,
urdu1245-eighttrees,urdu1245,ɑʈʰ dɑrəkʰt,,,eight trees,,,
halb1244-eighttrees,halb1244,ɑʈ ʈʰən rukʰ mən,,,eight trees,,,
maga1260-eighttrees,maga1260,ɑʈʰ ɡo ɡɑčʰ,,,eight trees,,,
kull1236-eighttrees,kull1236,ɔʈʰ buʈe,,,eight trees,,,
dogr1250-onetree,dogr1250,ek buʈɑ,,,one tree,,,
garh1243-onetree,garh1243,ek peɖ,,,one tree,,,
kuma1273-onetree,kuma1273,ek ɖɑu,,,one tree,,,
gadd1242-onetree,gadd1242,əkʰ buʈ,,,one tree,,,
goan1235-onetree,goan1235,ɛk zʰɑd,,,one tree,,,
nepa1254-onetree,nepa1254,eoʈɑ rukʰ,,,one tree,,,
kudm1238-onetree,kudm1238,ənəʈɑ ɡɑčʰ,,,one tree,,,
beng1280-onetree,beng1280,eǩʈɪ ɡɑčʰ,,,one tree,,,
assa1263-onetree,assa1263,ɛdɑ:l ɡɒs,,,one tree,,,
marw1260-onetree,marw1260,ek peɽ,,,one tree,,,
panj1256-onetree,panj1256,ɪkk rukʰ,,,one tree,,,
adiv1239-onetree,adiv1239,ɡotɪe ɡəčʰə/ɡəčʰətɪe,,,one tree,,,
kash1277-onetree,kash1277,əkʰ kul,,,one tree,,,
mara1378-onetree,mara1378,ek  ǰʰɑr,,,one tree,,,
guja1252-onetree,guja1252,ek ǰʰɑɽ/ʋrukʃʰ,,,one tree,,,
sind1272-onetree,sind1272,ɪkk peɽ,,,one tree,,,
paha1251-onetree,paha1251,ek buʈɑ,,,one tree,,,
sada1242-onetree,sada1242,ɛɡo ɡəčʰ,,,one tree,,,
wagd1238-onetree,wagd1238,ek ǰʰɑr,,,one tree,,,
west2380-onetree,west2380,eɡo per,,,one tree,,,
sans1269-onetree,sans1269,ekəm ʋrikʃʰəm,,,one tree,,,
sylh1242-onetree,sylh1242,æxʈɑ ɡɑs,,,one tree,,,
urdu1245-onetree,urdu1245,ɑek dɑrəkʰt,,,one tree,,,
halb1244-onetree,halb1244,ɡoʈək rukʰ,,,one tree,,,
maga1260-onetree,maga1260,eɡo ɡɑčʰ,,,one tree,,,
kull1236-onetree,kull1236,ek buʈɑ,,,one tree,,,
dogr1250-ihaveonebrother,dogr1250,merɑ ek prɑ ɛ,,,I have one brother.,,,
garh1243-ihaveonebrother,garh1243,mjɑr ek bʰɑi čə,,,I have one brother.,,,
kuma1273-ihaveonebrother,kuma1273,mer ek bʰɛ čʰu,,,I have one brother.,,,
gadd1242-ihaveonebrother,gadd1242,merɑ ək bɑi ə,,,I have one brother.,,,
goan1235-ihaveonebrother,goan1235,mhɑkɑ ek bʰɑv ɑsɑ,,,I have one brother.,,,
nepa1254-ihaveonebrother,nepa1254,meru eoʈɑ bʰɑi čʰə,,,I have one brother.,,,
kudm1238-ihaveonebrother,kudm1238,mən ənɑʈɑ bʰɑi ɑhe,,,I have one brother.,,,
beng1280-ihaveonebrother,beng1280,ɑmɑr ækʈɑ bʰɑɪ ɑčʰe,,,I have one brother.,,,
assa1263-ihaveonebrother,assa1263,mor ɛt̪ɑ: bʰɑɪ ɑsɛ,,,I have one brother.,,,
marw1260-ihaveonebrother,marw1260,mʰɑro ek bʰɑɪ hɛ,,,I have one brother.,,,
panj1256-ihaveonebrother,panj1256,merɑ ɪkk brɑ hɛ,,,I have one brother.,,,
adiv1239-ihaveonebrother,adiv1239,morə ɡotɪe bʰɑɪ əčʰɪ,,,I have one brother.,,,
kash1277-ihaveonebrother,kash1277,meh čʰu əkʰ buəi,,,I have one brother.,,,
mara1378-ihaveonebrother,mara1378,məɭɑ ek bʰəʊ ɑhe,,,I have one brother.,,,
guja1252-ihaveonebrother,guja1252,mɑre ek bʰɑɪ čʰe,,,I have one brother.,,,
sind1272-ihaveonebrother,sind1272,munǰo ɪkk bʰɑ ɑhe,,,I have one brother.,,,
paha1251-ihaveonebrother,paha1251,merɑ ek prɑ ɛ,,,I have one brother.,,,
sada1242-ihaveonebrother,sada1242,mor eɡo bʰɑi ɑhe,,,I have one brother.,,,
wagd1238-ihaveonebrother,wagd1238,mɑre ek bʰɑi he,,,I have one brother.,,,
west2380-ihaveonebrother,west2380,həmmər eɡo bʰɑi həu,,,I have one brother.,,,
sans1269-ihaveonebrother,sans1269,məm ekəh bʰrɑtɑ əsti,,,I have one brother.,,,
sylh1242-ihaveonebrother,sylh1242,ɑmɑr æxʈɑ bɑi ɑse,,,I have one brother.,,,
urdu1245-ihaveonebrother,urdu1245,merɑ ɑek bʰɑi hɛ,,,I have one brother.,,,
halb1244-ihaveonebrother,halb1244,močo ɡoʈək bʰɑi ɑse,,,I have one brother.,,,
maga1260-ihaveonebrother,maga1260,həmər eɡo bʰɑi hɛ,,,I have one brother.,,,
kull1236-ihaveonebrother,kull1236,merɑ ek bʰɑi sɑ,,,I have one brother.,,,
dogr1250-ihavetwobrothers,dogr1250,mere do prɑn ɛ,,,I have two brothers.,,,
garh1243-ihavetwobrothers,garh1243,mjɑr dui bʰɑi čʰe,,,I have two brothers.,,,
kuma1273-ihavetwobrothers,kuma1273,mer di bʰɛ čʰe,,,I have two brothers.,,,
gadd1242-ihavetwobrothers,gadd1242,mere do bɑi-n/bɑi nə,,,I have two brothers.,,,
goan1235-ihavetwobrothers,goan1235,mhɑkɑ d̪on bʰɑv ɑsɑt̪,,,I have two brothers.,,,
nepa1254-ihavetwobrothers,nepa1254,mɛru duiʈɑ bʰɑi əru čʰən,,,I have two brothers.,,,
kudm1238-ihavetwobrothers,kudm1238,mən dənɑʈɑ bʰɑi ɑ:hɑt,,,I have two brothers.,,,
beng1280-ihavetwobrothers,beng1280,ɑmɑr d̪uʈo bʰɑɪ ɑčʰe,,,I have two brothers.,,,
assa1263-ihavetwobrothers,assa1263,mor dʊt̪ɑ bʰɑɪ ɑsɛ,,,I have two brothers.,,,
marw1260-ihavetwobrothers,marw1260,mʰɑrɑ do bʰɑɪ hɛ,,,I have two brothers.,,,
panj1256-ihavetwobrothers,panj1256,mere d̪o brɑ hən,,,I have two brothers.,,,
adiv1239-ihavetwobrothers,adiv1239,morə d̪uɪtɪ bʰɑɪ əčʰənt̪ɪ,,,I have two brothers.,,,
kash1277-ihavetwobrothers,kash1277,meh čʰə žə buəi,,,I have two brothers.,,,
mara1378-ihavetwobrothers,mara1378,məɭɑ d̪on bʰəʊ ɑhet̪,,,I have two brothers.,,,
guja1252-ihavetwobrothers,guja1252,mɑre be bʰɑɪjo čʰe,,,I have two brothers.,,,
sind1272-ihavetwobrothers,sind1272,munǰɑ bə bʰɑ ən,,,I have two brothers.,,,
paha1251-ihavetwobrothers,paha1251,mere do prɑn,,,I have two brothers.,,,
sada1242-ihavetwobrothers,sada1242,mor duiɡo bʰɑi ɑhe,,,I have two brothers.,,,
wagd1238-ihavetwobrothers,wagd1238,mɑre be bʰɑi he,,,I have two brothers.,,,
west2380-ihavetwobrothers,west2380,həmmər duɡo bʰɑi həu,,,I have two brothers.,,,
sans1269-ihavetwobrothers,sans1269,məm dʋɔ bʰrɑtrɔ stəh,,,I have two brothers.,,,
sylh1242-ihavetwobrothers,sylh1242,ɑmɑr duiʈɑ bɑi ɑse,,,I have two brothers.,,,
urdu1245-ihavetwobrothers,urdu1245,mere do bʰɑi hɛ̃,,,I have two brothers.,,,
halb1244-ihavetwobrothers,halb1244,močo du ǰʰən bʰɑi mən ɑsot,,,I have two brothers.,,,
maga1260-ihavetwobrothers,maga1260,həmər duɡo bʰɑi hət,,,I have two brothers.,,,
kull1236-ihavetwobrothers,kull1236,merɑ dui bʰɑi sɑ,,,I have two brothers.,,,
dogr1250-ihaveonesister,dogr1250,meri ek bɛɳ ɛ,,,I have one sister.,,,
garh1243-ihaveonesister,garh1243,mjɑr ek behen čə,,,I have one sister.,,,
kuma1273-ihaveonesister,kuma1273,mer ek beɳ čʰu,,,I have one sister.,,,
gadd1242-ihaveonesister,gadd1242,meri ək bɛn ə,,,I have one sister.,,,
goan1235-ihaveonesister,goan1235,mhɑkɑ ek bʰəjɳ ɑsɑ,,,I have one sister.,,,
nepa1254-ihaveonesister,nepa1254,meru eoʈɑ bəini čʰə,,,I have one sister.,,,
kudm1238-ihaveonesister,kudm1238,mər ekʈi/ənɑʈi behin əhi,,,I have one sister.,,,
beng1280-ihaveonesister,beng1280,ɑmɑr ækʈɑ bon ɑčʰe,,,I have one sister.,,,
assa1263-ihaveonesister,assa1263,mor ɛt̪ɑ: bʰonɪ ɑsɛ,,,I have one sister.,,,
marw1260-ihaveonesister,marw1260,mʰɑrɪ ek ben h,,,I have one sister.,,,
panj1256-ihaveonesister,panj1256,merɪ ɪkk bɛɳ hɛ,,,I have one sister.,,,
adiv1239-ihaveonesister,adiv1239,morə ɡotɪe bʰəʊɳɪ əčʰɪ,,,I have one sister.,,,
kash1277-ihaveonesister,kash1277,meh čʰə əkʰ beni,,,I have one sister.,,,
mara1378-ihaveonesister,mara1378,məɭɑ ek bəhɪn ɑhe,,,I have one sister.,,,
guja1252-ihaveonesister,guja1252,mɑre ek bəhen čʰe,,,I have one sister.,,,
sind1272-ihaveonesister,sind1272,munǰɪ ɪkk beɳ ɑhe,,,I have one sister.,,,
paha1251-ihaveonesister,paha1251,meri ek pen ɛ,,,I have one sister.,,,
sada1242-ihaveonesister,sada1242,mor eɡo bəhin ɑhe,,,I have one sister.,,,
wagd1238-ihaveonesister,wagd1238,mɑri ek ben he,,,I have one sister.,,,
west2380-ihaveonesister,west2380,həmmər eɡo/həmrɑ ek bəhin həu,,,I have one sister.,,,
sans1269-ihaveonesister,sans1269,məm ekɑ bʰəɡini əsti,,,I have one sister.,,,
sylh1242-ihaveonesister,sylh1242,ɑmɑr æxʈɑ boin ɑse,,,I have one sister.,,,
urdu1245-ihaveonesister,urdu1245,meri ek behən hɛ,,,I have one sister.,,,
halb1244-ihaveonesister,halb1244,močo ɡoʈək bəhin ɑse,,,I have one sister.,,,
maga1260-ihaveonesister,maga1260,həmər eɡo bəhin hi,,,I have one sister.,,,
kull1236-ihaveonesister,kull1236,meri ek bɛɳ sɑ,,,I have one sister.,,,
dogr1250-ihavetwosisters,dogr1250,merijə do bɛɳən ɛ,,,I have two sisters.,,,
garh1243-ihavetwosisters,garh1243,mjɑr dui behen čʰi,,,I have two sisters.,,,
kuma1273-ihavetwosisters,kuma1273,mer di beɳ-i čʰe,,,I have two sisters.,,,
gadd1242-ihavetwosisters,gadd1242,meri do bɛn-en,,,I have two sisters.,,,
goan1235-ihavetwosisters,goan1235,mhɑkɑ d̪on bʰəjɳɪ̃ ɑsɑt̪,,,I have two sisters.,,,
nepa1254-ihavetwosisters,nepa1254,mɛru duiʈɑ bəini əru čʰən,,,I have two sisters.,,,
kudm1238-ihavetwosisters,kudm1238,mər dənɑʈi behin ɑ:hət,,,I have two sisters.,,,
beng1280-ihavetwosisters,beng1280,ɑmɑr d̪uʈo bon ɑčʰe,,,I have two sisters.,,,
assa1263-ihavetwosisters,assa1263,mor dʊt̪ɑ: bʰonɪ ɑsɛ,,,I have two sisters.,,,
marw1260-ihavetwosisters,marw1260,mʰɑrɪ do benɑ hɛ,,,I have two sisters.,,,
panj1256-ihavetwosisters,panj1256,merɪjɑ̃ d̪o bɛɳɑ hən,,,I have two sisters.,,,
adiv1239-ihavetwosisters,adiv1239,morə d̪uɪtɪ bʰəʊɳɪ əčʰənt̪ɪ,,,I have two sisters.,,,
kash1277-ihavetwosisters,kash1277,meh čʰə žə beni,,,I have two sisters.,,,
mara1378-ihavetwosisters,mara1378,məɭɑ d̪on bəhɪn ɑhet̪,,,I have two sisters.,,,
guja1252-ihavetwosisters,guja1252,mɑre be bəheɳo čʰe,,,I have two sisters.,,,
sind1272-ihavetwosisters,sind1272,munjɪ bə beɳru ən,,,I have two sisters.,,,
